transaction_id,user_id,transaction_amount,transaction_type,payment_mode,device_type,device_location,account_age_days,transaction_hour,previous_failed_attempts,avg_transaction_amount,is_international,ip_risk_score,login_attempts_last_24h,fraud_label
T1,U3756,18758.28,Transfer,UPI,Web,Hyderabad,895,14,1,25535.84,0,0.718,4,0
T2,U7899,47538.18,Payment,Wallet,iOS,Hyderabad,918,21,0,3955.85,0,0.525,9,0
T3,U1765,36613.1,Payment,Card,Android,Chennai,1506,8,4,22727.71,0,0.985,9,0
T4,U8850,29952.99,Payment,Wallet,iOS,Chennai,800,1,3,18095.89,0,0.797,2,0
T5,U9049,7843.13,Payment,UPI,Web,Delhi,301,4,1,9317.49,1,0.468,1,0
T6,U1787,7841.93,Transfer,NetBanking,Web,Hyderabad,1992,20,3,4177.23,0,0.583,3,0
T7,U8763,2951.28,Transfer,UPI,Android,Hyderabad,1285,22,4,11451.45,0,0.045,8,1
T8,U1439,43315.5,Transfer,UPI,Web,Hyderabad,1621,4,4,13297.18,0,0.965,4,0
T9,U6660,30075.69,Transfer,UPI,Android,Mumbai,184,11,0,4308.8,0,0.363,5,0
T10,U3566,35418.23,Payment,Card,iOS,Hyderabad,118,9,3,20136.79,0,0.662,5,0
T11,U7074,1078.2,Withdrawal,Wallet,iOS,Mumbai,971,3,4,9282.58,0,0.667,2,0
T12,U4776,48497.0,Transfer,NetBanking,Android,Delhi,1373,11,2,24200.58,0,0.057,1,0
T13,U2955,41630.51,Transfer,Card,iOS,Bangalore,857,14,4,19485.63,0,0.266,8,0
T14,U8947,10656.34,Payment,UPI,Android,Hyderabad,1047,9,4,9384.02,0,0.656,5,0
T15,U7312,9132.16,Payment,NetBanking,iOS,Chennai,702,17,3,10864.59,0,0.912,2,0
T16,U2252,9211.06,Payment,UPI,iOS,Chennai,1355,23,4,28270.21,0,0.779,7,0
T17,U2234,15246.9,Payment,UPI,Web,Hyderabad,1978,4,1,28448.77,0,0.58,2,0
T18,U5276,26261.58,Withdrawal,UPI,Web,Mumbai,1817,12,4,12609.29,0,0.232,6,0
T19,U4164,21625.65,Withdrawal,NetBanking,Android,Chennai,973,3,2,20407.19,0,0.949,9,0
T20,U2630,14596.9,Transfer,Wallet,iOS,Chennai,52,8,4,29401.17,0,0.404,4,0
T21,U9283,30612.05,Withdrawal,UPI,iOS,Delhi,470,17,0,29822.13,0,0.15,5,0
T22,U6747,7017.72,Transfer,Wallet,iOS,Delhi,1135,2,3,2256.81,0,0.022,1,0
T23,U1181,14642.63,Transfer,NetBanking,Web,Delhi,1658,23,2,16649.62,1,0.95,1,0
T24,U4203,18349.77,Withdrawal,NetBanking,Android,Chennai,714,10,1,21825.86,0,0.778,9,0
T25,U4808,22830.7,Transfer,UPI,Android,Chennai,1042,3,4,5687.3,0,0.216,5,0
T26,U3308,39269.54,Payment,Wallet,Android,Hyderabad,158,8,4,24674.96,0,0.142,3,0
T27,U1472,10023.71,Transfer,Wallet,iOS,Hyderabad,347,11,1,14106.78,0,0.959,2,0
T28,U8397,25736.01,Payment,UPI,Android,Mumbai,1012,9,4,14982.77,0,0.241,7,0
T29,U9198,29641.11,Withdrawal,Card,Web,Chennai,233,9,0,8302.26,0,0.462,4,0
T30,U8334,2370.2,Withdrawal,Card,Web,Hyderabad,1143,8,2,9074.41,0,0.611,3,0
